靡ㄩ絏	虏嘿	るら	厨筍瞯
M2300  	筿摸计   	20000627	  -1.2932
M2300  	筿摸计   	20000628	   0.3046
M2300  	筿摸计   	20000629	  -2.7906
M2300  	筿摸计   	20000630	   1.0924
M2300  	筿摸计   	20000703	  -1.6425
M2300  	筿摸计   	20000704	  -2.8256
M2300  	筿摸计   	20000705	   5.0694
M2300  	筿摸计   	20000706	  -2.8579
M2300  	筿摸计   	20000707	  -1.5131
M2300  	筿摸计   	20000710	  -0.4476
M2300  	筿摸计   	20000711	   0.3864
M2300  	筿摸计   	20000712	   0.1711
M2300  	筿摸计   	20000713	   3.0536
M2300  	筿摸计   	20000714	   2.3831
M2300  	筿摸计   	20000715	   0.1512
M2300  	筿摸计   	20000717	  -0.8314
M2300  	筿摸计   	20000718	  -2.1228
M2300  	筿摸计   	20000719	   0.4469
M2300  	筿摸计   	20000720	  -3.1755
M2300  	筿摸计   	20000721	  -1.0812
M2300  	筿摸计   	20000724	  -1.8718
M2300  	筿摸计   	20000725	  -2.1999
M2300  	筿摸计   	20000726	   1.1484
M2300  	筿摸计   	20000727	  -0.4199
M2300  	筿摸计   	20000728	   1.3027
M2300  	筿摸计   	20000729	  -0.3209
M2300  	筿摸计   	20000731	  -0.7909
M2300  	筿摸计   	20000801	  -1.2933
M2300  	筿摸计   	20000802	  -1.4199
M2300  	筿摸计   	20000803	  -1.0029
M2300  	筿摸计   	20000804	   1.6697
M2300  	筿摸计   	20000805	  -1.6063
M2300  	筿摸计   	20000807	  -1.3958
M2300  	筿摸计   	20000808	   1.5195
M2300  	筿摸计   	20000809	   4.2197
M2300  	筿摸计   	20000810	   0.4912
M2300  	筿摸计   	20000811	  -0.7169
M2300  	筿摸计   	20000814	  -1.9669
M2300  	筿摸计   	20000815	   0.3133
M2300  	筿摸计   	20000816	   2.9728
M2300  	筿摸计   	20000817	   2.7064
M2300  	筿摸计   	20000818	   0.3359
M2300  	筿摸计   	20000819	   1.0716
M2300  	筿摸计   	20000821	   0.8602
M2300  	筿摸计   	20000822	  -2.0231
M2300  	筿摸计   	20000824	   0.6635
M2300  	筿摸计   	20000825	  -0.8312
M2300  	筿摸计   	20000828	  -2.4380
M2300  	筿摸计   	20000829	   0.9908
M2300  	筿摸计   	20000830	  -2.9844
M2300  	筿摸计   	20000831	   0.8863
M2300  	筿摸计   	20000901	  -2.2244
M2300  	筿摸计   	20000902	   3.5964
M2300  	筿摸计   	20000904	   0.8143
M2300  	筿摸计   	20000905	   0.2883
M2300  	筿摸计   	20000906	  -2.1925
M2300  	筿摸计   	20000907	  -3.5153
M2300  	筿摸计   	20000908	  -2.2266
M2300  	筿摸计   	20000911	  -0.4476
M2300  	筿摸计   	20000913	   1.0805
M2300  	筿摸计   	20000914	  -3.7154
M2300  	筿摸计   	20000915	   0.5028
M2300  	筿摸计   	20000916	  -0.1371
M2300  	筿摸计   	20000918	  -1.3553
M2300  	筿摸计   	20000919	  -3.0443
M2300  	筿摸计   	20000920	   1.2150
M2300  	筿摸计   	20000921	  -0.5017
M2300  	筿摸计   	20000922	  -5.9822
M2300  	筿摸计   	20000925	   0.1572
M2300  	筿摸计   	20000926	   2.8877
M2300  	筿摸计   	20000927	  -1.0055
M2300  	筿摸计   	20000928	  -2.9535
M2300  	筿摸计   	20000929	  -2.9696
M2300  	筿摸计   	20000930	  -4.7852
M2300  	筿摸计   	20001002	  -3.4998
M2300  	筿摸计   	20001003	   1.0817
M2300  	筿摸计   	20001004	  -3.2417
M2300  	筿摸计   	20001005	   0.7904
M2300  	筿摸计   	20001006	   6.2641
M2300  	筿摸计   	20001007	   0.8078
M2300  	筿摸计   	20001009	  -2.8922
M2300  	筿摸计   	20001011	  -2.9442
M2300  	筿摸计   	20001012	  -5.4565
M2300  	筿摸计   	20001013	   0.0947
M2300  	筿摸计   	20001016	  -5.3944
M2300  	筿摸计   	20001017	   0.5320
M2300  	筿摸计   	20001018	  -6.1548
M2300  	筿摸计   	20001019	  -6.7439
M2300  	筿摸计   	20001020	   6.3794
M2300  	筿摸计   	20001021	   4.8371
M2300  	筿摸计   	20001023	   3.1985
M2300  	筿摸计   	20001024	   6.0788
M2300  	筿摸计   	20001025	   3.3139
M2300  	筿摸计   	20001026	  -1.8403
M2300  	筿摸计   	20001027	  -2.6254
M2300  	筿摸计   	20001030	  -3.2919
M2300  	筿摸计   	20001031	  -2.2345
M2300  	筿摸计   	20001101	  -2.2251
M2300  	筿摸计   	20001102	   4.0599
M2300  	筿摸计   	20001103	   4.3598
M2300  	筿摸计   	20001104	  -2.5281
M2300  	筿摸计   	20001106	   0.5366
M2300  	筿摸计   	20001107	   5.8268
M2300  	筿摸计   	20001108	   3.1232
M2300  	筿摸计   	20001109	   0.5173
